@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_MAG_V numeric
@attribute F5_PeakToPeak_on_ACC_X numeric
@attribute F6_PeakToPeak_on_ACC_Y numeric
@attribute F7_PeakToPeak_on_ACC_Z numeric
@attribute F8_PeakToPeak_on_MAG_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_MAG_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_MAG_V numeric
@attribute class {down_horizontally, down_vertically, up_horizontally, up_vertically}

@data
-0.0094986, -0.376465, 0.943848, 0, 0.0289917, 0.0480957, 0.0112305, 0, -0.0239868, -0.399902, 0.936523, 0, 0.00499725, -0.351807, 0.947754, 0, down_horizontally
0.00500488, -0.400879, 0.938477, 0, 0, 0, 0, 0, 0.00499725, -0.399902, 0.936523, 0, 0.00499725, -0.399902, 0.936523, 0, down_horizontally
0.00500488, -0.400879, 0.938477, 0, 0, 0, 0, 0, 0.00499725, -0.399902, 0.936523, 0, 0.00499725, -0.399902, 0.936523, 0, down_horizontally
0.00200462, -0.438232, 0.968262, 0, 0.00999451, 0.125977, 0.0986328, 0, -0.00499725, -0.525879, 0.936523, 0, 0.00499725, -0.399902, 1.03516, 0, down_horizontally
-0.00500488, -0.526855, 1.03711, 0, 0, 0, 0, 0, -0.00499725, -0.525879, 1.03516, 0, -0.00499725, -0.525879, 1.03516, 0, down_horizontally
-0.00500488, -0.526855, 1.03711, 0, 0, 0, 0, 0, -0.00499725, -0.525879, 1.03516, 0, -0.00499725, -0.525879, 1.03516, 0, down_horizontally
-0.00951385, -0.513184, 1.03613, 0, 0.0449829, 0.13208, 0.0078125, 0, -0.0499878, -0.525879, 1.02734, 0, -0.00499725, -0.393799, 1.03516, 0, down_horizontally
-0.0501099, -0.394531, 1.0293, 0, 0, 0, 0, 0, -0.0499878, -0.393799, 1.02734, 0, -0.0499878, -0.393799, 1.02734, 0, down_horizontally
-0.0501099, -0.394531, 1.0293, 0, 0, 0, 0, 0, -0.0499878, -0.393799, 1.02734, 0, -0.0499878, -0.393799, 1.02734, 0, down_horizontally
-0.0501099, -0.394531, 1.0293, 0, 0, 0, 0, 0, -0.0499878, -0.393799, 1.02734, 0, -0.0499878, -0.393799, 1.02734, 0, down_horizontally
-0.0275421, -0.219727, 1.04297, 0, 0.0249939, 0.193848, 0.015625, 0, -0.0499878, -0.393799, 1.02734, 0, -0.0249939, -0.199951, 1.04297, 0, down_horizontally
-0.0250549, -0.200439, 1.04492, 0, 0, 0, 0, 0, -0.0249939, -0.199951, 1.04297, 0, -0.0249939, -0.199951, 1.04297, 0, down_horizontally
-0.0250549, -0.200439, 1.04492, 0, 0, 0, 0, 0, -0.0249939, -0.199951, 1.04297, 0, -0.0249939, -0.199951, 1.04297, 0, down_horizontally
-0.110535, -0.104187, 1.04688, 0, 0.122009, 0.136963, 0.00390625, 0, -0.146973, -0.199951, 1.04297, 0, -0.0249939, -0.0629883, 1.04688, 0, down_horizontally
-0.147339, -0.0630493, 1.04785, 0, 0, 0, 0, 0, -0.146973, -0.0629883, 1.04688, 0, -0.146973, -0.0629883, 1.04688, 0, down_horizontally
-0.147339, -0.0630493, 1.04785, 0, 0, 0, 0, 0, -0.146973, -0.0629883, 1.04688, 0, -0.146973, -0.0629883, 1.04688, 0, down_horizontally
-0.140625, 0.0365295, 1.00879, 0, 0.0130615, 0.198975, 0.0791016, 0, -0.146973, -0.0629883, 0.967773, 0, -0.133911, 0.135986, 1.04688, 0, down_horizontally
-0.134033, 0.136108, 0.969727, 0, 0, 0, 0, 0, -0.133911, 0.135986, 0.967773, 0, -0.133911, 0.135986, 0.967773, 0, down_horizontally
-0.134033, 0.136108, 0.969727, 0, 0, 0, 0, 0, -0.133911, 0.135986, 0.967773, 0, -0.133911, 0.135986, 0.967773, 0, down_horizontally
-0.0842896, 0.167114, 0.983887, 0, 0.165894, 0.102905, 0.0478516, 0, -0.133911, 0.135986, 0.967773, 0, 0.0319824, 0.238892, 1.01563, 0, down_horizontally
0.0320129, 0.239258, 1.0166, 0, 0, 0, 0, 0, 0.0319824, 0.238892, 1.01563, 0, 0.0319824, 0.238892, 1.01563, 0, down_horizontally
0.0320129, 0.239258, 1.0166, 0, 0, 0, 0, 0, 0.0319824, 0.238892, 1.01563, 0, 0.0319824, 0.238892, 1.01563, 0, down_horizontally
0.0210114, 0.241699, 1.02051, 0, 0.109924, 0.0230713, 0.0400391, 0, -0.0779419, 0.238892, 1.01563, 0, 0.0319824, 0.261963, 1.05566, 0, down_horizontally
-0.078125, 0.262207, 1.05664, 0, 0, 0, 0, 0, -0.0779419, 0.261963, 1.05566, 0, -0.0779419, 0.261963, 1.05566, 0, down_horizontally
-0.078125, 0.262207, 1.05664, 0, 0, 0, 0, 0, -0.0779419, 0.261963, 1.05566, 0, -0.0779419, 0.261963, 1.05566, 0, down_horizontally
